machine_type,vibration_rms,temperature_motor,current_phase_avg,pressure_level,rpm,operating_mode,hours_since_maintenance,ambient_temp,rul_hours,hour,day_of_week,month,temp_over_rpm,vibration_x_current,maintenance_urgency
Robotic Arm,1.3,42.09,5.36,46.1,351.2,normal,141.92,14.4,0.5,0,6,1,0.11950596252129474,6.968000000000001,94.61333333333333
CNC,4.02,66.59,11.56,70.2,2781.9,normal,75.72,16.0,12.43,10,4,1,0.02392827625857918,46.471199999999996,5.638123603871929
Compressor,1.42,53.89,7.42,48.3,666.7,idle,22.13,11.3,7.52,5,3,1,0.08070989965553392,10.536399999999999,2.597417840375587
Compressor,1.05,51.59,5.77,48.4,755.5,idle,58.13,15.4,38.26,16,4,1,0.06819563780568408,6.0584999999999996,1.48064187468161
Robotic Arm,1.49,47.24,6.69,40.1,325.6,normal,126.87,9.1,32.2,12,1,1,0.14464176362522962,9.9681,3.8213855421686747
CNC,5.02,90.74,29.7,,3382.1,peak,137.22,15.2,3.52,15,1,1,0.02682155419585587,149.094,30.35840707964602
Compressor,2.34,50.81,13.3,100.5,1818.4,normal,97.6,9.1,0.5,13,0,1,0.027926789051335606,31.122,65.06666666666666
Robotic Arm,0.35,28.05,2.44,16.9,152.0,idle,10.23,11.3,66.46,17,2,1,0.18333333333333335,0.854,0.15164541950785654
CNC,2.93,63.33,15.03,,3027.6,normal,294.41,17.5,0.5,16,5,1,0.020910651786303903,44.0379,196.27333333333334
Robotic Arm,1.51,45.53,8.13,58.2,491.3,peak,49.98,12.0,28.94,7,0,1,0.09248425756652448,12.2763,1.6693386773547092
Robotic Arm,1.91,65.68,9.47,58.0,483.3,peak,23.92,15.8,26.47,19,3,1,0.1356184183357423,18.0877,0.8707681106661814
CNC,3.78,57.38,15.9,63.8,2969.3,normal,405.0,8.2,35.57,16,1,1,0.019317914015419317,60.102,11.074651353568498
Compressor,2.26,60.63,14.12,113.7,1697.2,normal,23.4,16.1,52.06,11,4,1,0.03570250853845248,31.911199999999994,0.4410101771579344
Pump,2.51,75.91,17.36,148.4,1853.9,peak,15.55,16.1,44.68,9,2,1,0.04092403903175373,43.57359999999999,0.34041155866900175
Robotic Arm,0.37,31.04,2.22,14.4,147.9,idle,39.3,16.2,51.74,8,6,1,0.2084620550705171,0.8214,0.7451649601820249
Pump,2.84,80.74,16.06,150.4,1830.8,peak,348.22,13.6,0.5,18,5,1,0.044076864286494155,45.61039999999999,232.14666666666668
Robotic Arm,1.31,78.44,8.02,40.6,303.5,normal,139.05,14.7,5.91,18,2,1,0.25760262725779964,10.5062,20.123010130246023
Compressor,1.57,51.09,6.51,44.3,710.4,idle,453.82,13.5,33.93,7,0,1,0.07181613719426484,10.2207,12.992270254795304
Robotic Arm,0.98,41.5,5.62,47.0,,normal,238.41,14.2,61.17,7,1,1,,5.5076,3.834807785105356
Pump,0.51,36.89,3.78,15.8,538.9,idle,214.18,12.9,69.4,23,0,1,0.06832746804963882,1.9278,3.042329545454545
CNC,0.7,40.28,5.24,21.2,854.2,idle,228.56,14.4,28.02,22,2,1,0.0471000935453695,3.6679999999999997,7.875947622329428
CNC,0.95,43.55,4.63,25.0,856.3,idle,32.78,11.8,50.69,22,5,1,0.05079902017963373,4.398499999999999,0.6341652157090347
Compressor,2.41,54.75,14.05,114.6,1693.4,normal,12.3,15.8,84.09,18,2,1,0.032312322946175635,33.8605,0.14455282641908568
Robotic Arm,0.65,42.56,2.86,19.2,143.6,idle,484.76,8.6,20.54,14,4,1,0.29432918395574,1.859,22.50510677808728
Compressor,2.11,52.73,13.91,111.8,1689.0,normal,436.69,16.7,0.5,14,6,1,0.03120118343195266,29.350099999999998,291.12666666666667
Compressor,2.23,56.37,13.69,110.3,1748.4,normal,281.16,11.0,76.17,17,0,1,0.03222247627758088,30.528699999999997,3.643384735000648
Compressor,0.98,46.64,5.77,42.5,758.1,idle,357.49,13.8,0.5,12,4,1,0.06144118034514556,5.654599999999999,238.32666666666668
Pump,1.86,64.23,11.42,88.4,1315.1,normal,337.88,16.6,0.5,8,5,1,0.04880328242534762,21.241200000000003,225.25333333333333
Compressor,2.21,54.44,13.53,109.5,1768.2,normal,361.91,13.3,0.5,17,4,1,0.030770969929911823,29.9013,241.27333333333334
Compressor,1.01,50.8,,48.2,,idle,270.53,16.2,86.8,7,0,1,,,3.0812072892938493
Pump,0.76,54.37,3.85,15.2,531.6,idle,451.05,17.1,28.7,1,3,1,0.10208411565903115,2.926,15.186868686868687
Compressor,1.02,45.21,6.92,46.3,753.4,idle,345.29,12.4,0.5,0,4,1,0.05992841993637328,7.0584,230.19333333333336
CNC,0.92,42.11,5.26,20.2,909.1,idle,184.68,16.7,0.5,19,5,1,0.046269640698824305,4.8392,123.12
Robotic Arm,1.12,44.88,5.36,47.1,366.0,normal,369.91,13.7,0.5,19,6,1,0.12228882833787466,6.0032000000000005,246.60666666666668
CNC,2.06,64.37,13.33,66.8,3040.4,normal,7.57,8.8,75.91,21,4,1,0.021164595252186495,27.4598,0.09842673254453257
Robotic Arm,1.36,74.3,8.31,46.0,306.0,normal,144.26,15.9,0.69,23,2,1,0.24201954397394135,11.301600000000002,85.36094674556213
CNC,3.18,65.89,12.5,66.6,2725.4,normal,71.9,14.2,16.24,6,4,1,0.024167400234741784,39.75,4.170533642691416
Compressor,2.43,58.22,14.31,112.1,1810.6,normal,108.18,9.1,0.5,23,0,1,0.032137337160521084,34.773300000000006,72.12
CNC,2.72,58.52,10.11,66.0,2879.6,normal,285.6,10.0,49.2,11,0,1,0.02031521210858849,27.499200000000002,5.6892430278884465
Pump,1.75,63.47,12.06,87.2,1239.3,normal,252.52,16.2,42.15,19,1,1,0.05117310328146416,21.105,5.852143684820394
CNC,2.22,58.44,11.12,83.0,2833.2,normal,287.29,15.2,0.5,9,5,1,0.02061957518876579,24.6864,191.52666666666667
CNC,0.72,46.22,4.88,21.7,913.7,idle,183.87,11.6,0.5,4,5,1,0.050530228490215365,3.5136,122.58
CNC,0.73,45.3,4.32,22.0,895.1,idle,62.07,11.1,21.41,3,0,1,0.05055239370605959,3.1536,2.7697456492637214
Compressor,1.2,46.83,7.07,45.6,768.6,idle,10.8,14.2,39.45,19,5,1,0.0608497920997921,8.484,0.2669962917181706
CNC,0.72,40.94,4.87,20.3,873.6,idle,210.63,11.9,45.96,4,2,1,0.0468099702721244,3.5063999999999997,4.4853066439523
Robotic Arm,1.4,47.95,5.48,46.5,347.8,normal,417.53,10.1,0.5,18,1,1,0.13747133027522937,7.672,278.3533333333333
Robotic Arm,1.68,54.28,7.72,56.3,501.4,peak,31.23,16.9,47.69,12,6,1,0.10804140127388535,12.9696,0.6414048059149723
Robotic Arm,1.04,50.76,6.2,47.2,337.8,normal,120.2,18.0,38.86,6,1,1,0.1498229043683589,6.448,3.0155544405418966
Compressor,3.34,63.13,18.15,147.2,2529.7,peak,356.52,16.9,0.5,6,3,1,0.024945667206701706,60.620999999999995,237.67999999999998
Compressor,0.99,49.84,5.83,43.2,747.7,idle,23.83,15.7,72.56,5,3,1,0.06656871911312942,5.7717,0.3239532354540511
Compressor,0.98,49.0,6.25,48.7,777.1,idle,7.25,12.9,75.76,5,4,1,0.06297391080837939,6.125,0.09445023449713391
Compressor,2.21,53.78,14.72,104.2,1690.3,normal,431.79,10.9,0.5,9,6,1,0.03179802518772542,32.5312,287.86
CNC,2.01,50.49,11.1,89.2,3048.6,normal,9.65,15.4,70.93,7,3,1,0.016556269674711438,22.310999999999996,0.13415820937022105
Robotic Arm,0.45,,2.37,16.5,154.5,idle,208.8,11.6,90.79,2,0,1,,1.0665,2.274757598866979
CNC,0.7,44.82,4.08,25.9,905.3,idle,267.88,13.9,0.5,13,4,1,0.049453823237338636,2.856,178.58666666666667
Compressor,2.57,51.36,14.78,104.4,1781.9,normal,367.9,12.0,0.5,17,3,1,0.028806999831734813,37.98459999999999,245.26666666666665
Robotic Arm,0.42,30.41,2.37,16.3,155.5,idle,161.17,8.5,0.5,22,4,1,0.19431309904153354,0.9954000000000001,107.44666666666666
CNC,4.37,62.81,13.14,62.2,2919.9,normal,339.13,13.2,8.33,12,0,1,0.02150364613646479,57.421800000000005,36.348338692390136
Robotic Arm,0.5,44.98,2.98,15.0,138.7,idle,119.45,12.4,25.51,22,1,1,0.32197566213314244,1.49,4.505846850245191
CNC,4.16,65.69,11.13,51.3,2751.1,normal,341.52,17.7,7.34,19,2,1,0.023869045456197086,46.3008,40.94964028776978
